customer_id,expected_aml_rating,assigned_aml_rating,last_rating_review_date
CUST_0001,LOW,LOW,2025-09-25
CUST_0002,MEDIUM,MEDIUM,2024-07-26
CUST_0003,HIGH,HIGH,2024-03-13
CUST_0004,LOW,LOW,2025-10-18
CUST_0005,LOW,LOW,2024-09-19
CUST_0006,MEDIUM,MEDIUM,2026-04-05
CUST_0007,LOW,LOW,2024-06-17
CUST_0008,MEDIUM,MEDIUM,2024-08-27
CUST_0009,LOW,LOW,2024-03-03
CUST_0010,LOW,LOW,2025-10-02
CUST_0011,HIGH,MEDIUM,2025-11-14
CUST_0012,MEDIUM,MEDIUM,2025-08-31
CUST_0013,MEDIUM,MEDIUM,2025-01-21
CUST_0014,MEDIUM,MEDIUM,2025-01-13
CUST_0015,LOW,LOW,2025-07-21
CUST_0016,LOW,LOW,2026-01-27
CUST_0017,LOW,LOW,2024-09-28
CUST_0018,MEDIUM,MEDIUM,2026-05-07
CUST_0019,LOW,LOW,2025-03-27
CUST_0020,LOW,LOW,2024-04-24
CUST_0021,MEDIUM,MEDIUM,2025-10-20
CUST_0022,MEDIUM,MEDIUM,2025-05-03
CUST_0023,MEDIUM,MEDIUM,2025-10-04
CUST_0024,HIGH,MEDIUM,2025-02-04
CUST_0025,LOW,LOW,2025-10-29
CUST_0026,MEDIUM,MEDIUM,2026-03-23
CUST_0027,LOW,LOW,2024-10-13
CUST_0028,LOW,LOW,2024-05-21
CUST_0029,HIGH,MEDIUM,2026-03-25
CUST_0030,LOW,LOW,2024-11-29
CUST_0031,MEDIUM,MEDIUM,2025-12-11
CUST_0032,MEDIUM,MEDIUM,2025-07-04
CUST_0033,LOW,LOW,2026-01-30
CUST_0034,HIGH,HIGH,2026-01-22
CUST_0035,HIGH,HIGH,2025-03-13
CUST_0036,LOW,LOW,2026-01-26
CUST_0037,LOW,LOW,2024-08-29
CUST_0038,LOW,LOW,2025-07-20
CUST_0039,HIGH,HIGH,2024-02-26
CUST_0040,LOW,LOW,2024-07-28
CUST_0041,LOW,LOW,2024-06-08
CUST_0042,LOW,LOW,2026-01-02
CUST_0043,MEDIUM,MEDIUM,2025-01-04
CUST_0044,LOW,LOW,2024-09-07
CUST_0045,HIGH,MEDIUM,2024-08-27
CUST_0046,LOW,LOW,2024-11-02
CUST_0047,MEDIUM,MEDIUM,2025-07-21
CUST_0048,MEDIUM,MEDIUM,2024-02-07
CUST_0049,MEDIUM,MEDIUM,2026-03-06
CUST_0050,HIGH,HIGH,2024-09-24
CUST_0051,LOW,LOW,2024-08-16
CUST_0052,HIGH,HIGH,2024-03-01
CUST_0053,MEDIUM,MEDIUM,2025-11-12
CUST_0054,LOW,LOW,2024-11-17
CUST_0055,LOW,LOW,2024-09-08
CUST_0056,MEDIUM,MEDIUM,2025-12-07
CUST_0057,MEDIUM,MEDIUM,2024-01-22
CUST_0058,CRITICAL,CRITICAL,2024-05-20
CUST_0059,LOW,LOW,2024-02-26
CUST_0060,MEDIUM,LOW,2024-01-20
CUST_0061,LOW,LOW,2025-11-04
CUST_0062,LOW,LOW,2026-03-10
CUST_0063,LOW,LOW,2024-04-19
CUST_0064,LOW,LOW,2025-11-01
CUST_0065,CRITICAL,CRITICAL,2025-12-28
CUST_0066,LOW,LOW,2026-02-26
CUST_0067,LOW,LOW,2025-07-18
CUST_0068,MEDIUM,MEDIUM,2025-04-30
CUST_0069,HIGH,HIGH,2025-12-09
CUST_0070,LOW,LOW,2025-01-14
CUST_0071,MEDIUM,MEDIUM,2025-08-03
CUST_0072,LOW,LOW,2025-05-30
CUST_0073,LOW,LOW,2025-03-22
CUST_0074,LOW,LOW,2025-01-10
CUST_0075,MEDIUM,MEDIUM,2024-01-17
CUST_0076,LOW,LOW,2026-03-23
CUST_0077,LOW,LOW,2025-03-10
CUST_0078,LOW,LOW,2025-06-09
CUST_0079,HIGH,HIGH,2024-10-25
CUST_0080,LOW,LOW,2024-02-08
CUST_0081,MEDIUM,MEDIUM,2025-08-15
CUST_0082,LOW,LOW,2025-10-17
CUST_0083,LOW,LOW,2026-03-01
CUST_0084,MEDIUM,MEDIUM,2025-05-03
CUST_0085,MEDIUM,MEDIUM,2026-04-23
