customer_id,identity_document_status,source_of_funds_status,beneficial_ownership_status,edd_file_status,kyc_document_expiry_date
CUST_0001,VALID,VALID,NOT_APPLICABLE,VALID,2026-12-10
CUST_0002,VALID,VALID,INVALID,INVALID,2026-11-07
CUST_0003,VALID,INVALID,VALID,VALID,2026-02-11
CUST_0004,VALID,VALID,NOT_APPLICABLE,INVALID,2027-04-28
CUST_0005,VALID,VALID,NOT_APPLICABLE,VALID,2026-11-06
CUST_0006,VALID,VALID,NOT_APPLICABLE,INVALID,2028-01-16
CUST_0007,VALID,VALID,NOT_APPLICABLE,INVALID,2026-11-21
CUST_0008,VALID,VALID,VALID,VALID,2027-08-04
CUST_0009,VALID,VALID,NOT_APPLICABLE,VALID,2027-01-20
CUST_0010,VALID,VALID,NOT_APPLICABLE,INVALID,2025-06-24
CUST_0011,VALID,VALID,NOT_APPLICABLE,INVALID,2028-05-02
CUST_0012,VALID,VALID,VALID,INVALID,2027-05-02
CUST_0013,VALID,VALID,VALID,INVALID,2027-03-04
CUST_0014,VALID,VALID,NOT_APPLICABLE,INVALID,2027-12-31
CUST_0015,VALID,VALID,NOT_APPLICABLE,INVALID,2027-01-15
CUST_0016,VALID,VALID,NOT_APPLICABLE,INVALID,2028-01-31
CUST_0017,VALID,VALID,NOT_APPLICABLE,INVALID,2026-09-07
CUST_0018,VALID,VALID,NOT_APPLICABLE,VALID,2025-09-26
CUST_0019,VALID,VALID,NOT_APPLICABLE,INVALID,2025-06-28
CUST_0020,VALID,VALID,NOT_APPLICABLE,VALID,2025-10-19
CUST_0021,VALID,VALID,NOT_APPLICABLE,VALID,2027-06-24
CUST_0022,VALID,INVALID,NOT_APPLICABLE,VALID,2026-12-20
CUST_0023,VALID,VALID,NOT_APPLICABLE,INVALID,2028-05-20
CUST_0024,VALID,INVALID,NOT_APPLICABLE,INVALID,2027-01-09
CUST_0025,VALID,INVALID,NOT_APPLICABLE,INVALID,2025-11-11
CUST_0026,VALID,VALID,VALID,INVALID,2025-11-16
CUST_0027,VALID,VALID,NOT_APPLICABLE,VALID,2027-10-11
CUST_0028,INVALID,VALID,NOT_APPLICABLE,INVALID,2028-04-28
CUST_0029,VALID,VALID,NOT_APPLICABLE,INVALID,2028-01-20
CUST_0030,VALID,VALID,NOT_APPLICABLE,INVALID,2027-10-14
CUST_0031,VALID,INVALID,NOT_APPLICABLE,INVALID,2027-12-26
CUST_0032,VALID,VALID,NOT_APPLICABLE,VALID,2026-10-24
CUST_0033,VALID,VALID,NOT_APPLICABLE,INVALID,2025-09-27
CUST_0034,VALID,VALID,VALID,VALID,2027-09-27
CUST_0035,VALID,VALID,VALID,INVALID,2026-09-08
CUST_0036,VALID,VALID,VALID,INVALID,2027-08-18
CUST_0037,VALID,VALID,NOT_APPLICABLE,INVALID,2027-01-14
CUST_0038,VALID,VALID,NOT_APPLICABLE,INVALID,2025-07-06
CUST_0039,VALID,INVALID,NOT_APPLICABLE,VALID,2026-10-28
CUST_0040,VALID,VALID,NOT_APPLICABLE,VALID,2025-12-24
CUST_0041,VALID,VALID,NOT_APPLICABLE,VALID,2026-01-15
CUST_0042,VALID,VALID,NOT_APPLICABLE,INVALID,2027-12-26
CUST_0043,VALID,INVALID,NOT_APPLICABLE,INVALID,2027-05-19
CUST_0044,VALID,VALID,VALID,INVALID,2027-02-15
CUST_0045,VALID,VALID,NOT_APPLICABLE,VALID,2027-02-27
CUST_0046,INVALID,VALID,NOT_APPLICABLE,INVALID,2026-03-19
CUST_0047,INVALID,VALID,NOT_APPLICABLE,VALID,2027-06-12
CUST_0048,VALID,INVALID,NOT_APPLICABLE,INVALID,2027-11-20
CUST_0049,VALID,VALID,NOT_APPLICABLE,INVALID,2027-06-20
CUST_0050,VALID,INVALID,NOT_APPLICABLE,INVALID,2027-09-01
CUST_0051,VALID,VALID,VALID,VALID,2028-02-05
CUST_0052,VALID,VALID,VALID,VALID,2025-08-13
CUST_0053,VALID,INVALID,VALID,INVALID,2028-02-09
CUST_0054,VALID,VALID,INVALID,VALID,2028-02-26
CUST_0055,VALID,VALID,NOT_APPLICABLE,INVALID,2026-03-16
CUST_0056,VALID,VALID,VALID,INVALID,2026-09-04
CUST_0057,INVALID,VALID,NOT_APPLICABLE,INVALID,2027-03-25
CUST_0058,VALID,INVALID,NOT_APPLICABLE,VALID,2026-12-02
CUST_0059,VALID,VALID,NOT_APPLICABLE,INVALID,2026-12-17
CUST_0060,VALID,VALID,NOT_APPLICABLE,INVALID,2027-04-15
CUST_0061,VALID,VALID,NOT_APPLICABLE,VALID,2026-12-04
CUST_0062,VALID,VALID,NOT_APPLICABLE,INVALID,2027-09-16
CUST_0063,VALID,VALID,VALID,VALID,2026-11-30
CUST_0064,VALID,VALID,NOT_APPLICABLE,VALID,2027-03-28
CUST_0065,VALID,VALID,NOT_APPLICABLE,VALID,2027-10-15
CUST_0066,VALID,INVALID,NOT_APPLICABLE,VALID,2028-04-29
CUST_0067,INVALID,VALID,NOT_APPLICABLE,INVALID,2028-01-13
CUST_0068,VALID,VALID,VALID,VALID,2028-04-05
CUST_0069,VALID,VALID,NOT_APPLICABLE,VALID,2026-08-02
CUST_0070,VALID,VALID,VALID,INVALID,2026-11-07
CUST_0071,VALID,VALID,VALID,VALID,2026-08-26
CUST_0072,VALID,VALID,NOT_APPLICABLE,INVALID,2028-02-16
CUST_0073,VALID,VALID,NOT_APPLICABLE,INVALID,2027-04-24
CUST_0074,VALID,VALID,INVALID,INVALID,2028-04-21
CUST_0075,VALID,VALID,NOT_APPLICABLE,VALID,2028-04-04
CUST_0076,VALID,VALID,VALID,INVALID,2025-07-28
