customer_id,pep_flag,high_risk_country_flag,complex_ownership_flag,adverse_media_flag,repeated_aml_issues_count
CUST_0001,NO,NO,NO,NO,0
CUST_0002,NO,NO,YES,NO,0
CUST_0003,YES,NO,NO,NO,0
CUST_0004,NO,NO,NO,NO,0
CUST_0005,NO,NO,NO,NO,0
CUST_0006,NO,YES,NO,NO,0
CUST_0007,NO,NO,NO,NO,0
CUST_0008,NO,YES,NO,NO,0
CUST_0009,NO,NO,NO,NO,0
CUST_0010,NO,NO,NO,NO,1
CUST_0011,NO,YES,NO,YES,0
CUST_0012,NO,YES,NO,NO,0
CUST_0013,NO,NO,YES,NO,0
CUST_0014,NO,YES,NO,NO,0
CUST_0015,NO,NO,NO,NO,2
CUST_0016,NO,NO,NO,NO,0
CUST_0017,NO,NO,NO,NO,0
CUST_0018,NO,NO,NO,NO,3
CUST_0019,NO,NO,NO,NO,0
CUST_0020,NO,NO,NO,NO,0
CUST_0021,NO,YES,NO,NO,0
CUST_0022,NO,NO,NO,NO,5
CUST_0023,NO,YES,NO,NO,0
CUST_0024,YES,YES,NO,NO,0
CUST_0025,NO,NO,NO,NO,1
CUST_0026,NO,NO,YES,NO,2
CUST_0027,NO,NO,NO,NO,1
CUST_0028,NO,NO,NO,NO,0
CUST_0029,YES,NO,NO,NO,1
CUST_0030,NO,NO,NO,NO,0
CUST_0031,NO,YES,NO,NO,1
CUST_0032,NO,YES,NO,NO,0
CUST_0033,NO,NO,NO,NO,0
CUST_0034,NO,YES,NO,YES,0
CUST_0035,NO,YES,YES,NO,0
CUST_0036,NO,NO,NO,NO,0
CUST_0037,NO,NO,NO,NO,1
CUST_0038,NO,NO,NO,NO,0
CUST_0039,NO,YES,NO,NO,4
CUST_0040,NO,NO,NO,NO,2
CUST_0041,NO,NO,NO,NO,1
CUST_0042,NO,NO,NO,NO,0
CUST_0043,NO,NO,NO,YES,1
CUST_0044,NO,NO,NO,NO,0
CUST_0045,NO,YES,NO,NO,3
CUST_0046,NO,NO,NO,NO,2
CUST_0047,NO,YES,NO,NO,1
CUST_0048,NO,YES,NO,NO,0
CUST_0049,NO,YES,NO,NO,0
CUST_0050,YES,NO,NO,NO,0
CUST_0051,NO,NO,NO,NO,0
CUST_0052,NO,YES,YES,NO,0
CUST_0053,NO,NO,NO,NO,5
CUST_0054,NO,NO,NO,NO,0
CUST_0055,NO,NO,NO,NO,0
CUST_0056,NO,YES,NO,NO,0
CUST_0057,NO,YES,NO,NO,0
CUST_0058,YES,NO,NO,YES,5
CUST_0059,NO,NO,NO,NO,0
CUST_0060,NO,YES,NO,NO,0
CUST_0061,NO,NO,NO,NO,0
CUST_0062,NO,NO,NO,NO,0
CUST_0063,NO,NO,NO,NO,0
CUST_0064,NO,NO,NO,NO,1
CUST_0065,NO,YES,NO,YES,4
CUST_0066,NO,NO,NO,NO,0
CUST_0067,NO,NO,NO,NO,0
CUST_0068,NO,NO,YES,NO,0
CUST_0069,NO,YES,NO,YES,2
CUST_0070,NO,NO,NO,NO,2
CUST_0071,NO,NO,NO,YES,0
CUST_0072,NO,NO,NO,NO,0
CUST_0073,NO,NO,NO,NO,0
CUST_0074,NO,NO,NO,NO,1
CUST_0075,NO,YES,NO,NO,0
CUST_0076,NO,NO,NO,NO,2
CUST_0077,NO,NO,NO,NO,1
CUST_0078,NO,NO,NO,NO,2
CUST_0079,YES,NO,NO,NO,0
CUST_0080,NO,NO,NO,NO,1
CUST_0081,NO,NO,YES,NO,0
CUST_0082,NO,NO,NO,NO,0
CUST_0083,NO,NO,NO,NO,1
CUST_0084,NO,YES,NO,NO,0
CUST_0085,NO,NO,NO,NO,3
CUST_0086,YES,NO,NO,NO,1
CUST_0087,NO,NO,YES,NO,0
CUST_0088,NO,NO,NO,NO,1
CUST_0089,NO,NO,YES,YES,0
CUST_0090,NO,NO,NO,NO,0
CUST_0091,NO,YES,NO,NO,0
CUST_0092,NO,YES,NO,NO,1
CUST_0093,NO,YES,YES,YES,1
CUST_0094,NO,NO,NO,NO,0
CUST_0095,NO,NO,NO,NO,0
CUST_0096,NO,NO,NO,NO,2
CUST_0097,NO,NO,NO,YES,1
CUST_0098,NO,YES,NO,NO,0
CUST_0099,NO,NO,NO,NO,1
CUST_0100,NO,NO,NO,NO,0
CUST_0101,YES,NO,NO,NO,0
CUST_0102,NO,NO,NO,NO,0
CUST_0103,NO,NO,NO,NO,0
CUST_0104,YES,YES,NO,NO,0
CUST_0105,NO,YES,YES,NO,0
CUST_0106,NO,NO,NO,NO,0
CUST_0107,NO,NO,NO,NO,1
CUST_0108,NO,YES,YES,NO,5
CUST_0109,NO,NO,NO,NO,1
CUST_0110,YES,NO,NO,NO,0
CUST_0111,NO,NO,NO,YES,0
CUST_0112,NO,NO,NO,NO,1
CUST_0113,NO,NO,YES,NO,0
CUST_0114,YES,NO,NO,YES,0
CUST_0115,NO,NO,NO,NO,1
CUST_0116,NO,NO,YES,NO,0
CUST_0117,NO,NO,NO,NO,1
CUST_0118,YES,NO,NO,NO,0
CUST_0119,NO,NO,NO,NO,0
CUST_0120,NO,YES,NO,NO,0
CUST_0121,NO,NO,YES,NO,4
CUST_0122,NO,NO,NO,YES,0
CUST_0123,NO,NO,NO,NO,1
CUST_0124,NO,NO,NO,NO,0
CUST_0125,YES,NO,NO,NO,0
CUST_0126,NO,NO,NO,NO,2
CUST_0127,NO,NO,YES,NO,3
CUST_0128,NO,NO,NO,NO,0
CUST_0129,NO,NO,NO,NO,0
CUST_0130,NO,YES,NO,NO,2
CUST_0131,NO,NO,NO,NO,0
CUST_0132,NO,NO,NO,NO,0
CUST_0133,NO,YES,NO,NO,0
CUST_0134,NO,NO,NO,NO,0
CUST_0135,NO,NO,YES,YES,0
CUST_0136,NO,NO,NO,NO,0
CUST_0137,NO,NO,NO,NO,0
CUST_0138,NO,YES,NO,YES,1
CUST_0139,NO,NO,NO,NO,1
CUST_0140,NO,NO,YES,NO,0
CUST_0141,NO,NO,NO,YES,0
CUST_0142,NO,NO,NO,NO,0
CUST_0143,NO,YES,NO,NO,4
CUST_0144,NO,YES,NO,NO,2
CUST_0145,NO,NO,NO,NO,1
CUST_0146,YES,NO,NO,NO,1
CUST_0147,NO,NO,NO,NO,0
CUST_0148,NO,YES,NO,NO,2
CUST_0149,NO,NO,NO,NO,3
CUST_0150,NO,NO,NO,NO,2
CUST_0151,YES,NO,NO,NO,1
