customer_id,customer_type,country,customer_status,onboarding_date,region
CUST_0001,INDIVIDUAL,Argentina,INACTIVE,2025-12-20,South America
CUST_0002,LEGAL_ENTITY,Morocco,INACTIVE,2024-06-04,Africa
CUST_0003,LEGAL_ENTITY,Spain,ACTIVE,2025-05-04,Europe
CUST_0004,INDIVIDUAL,Colombia,ACTIVE,2021-11-27,South America
CUST_0005,INDIVIDUAL,Mexico,ACTIVE,2025-11-01,North America
CUST_0006,INDIVIDUAL,UAE,ACTIVE,2022-01-05,Middle East
CUST_0007,INDIVIDUAL,Switzerland,ACTIVE,2023-11-26,Europe
CUST_0008,LEGAL_ENTITY,Turkey,ACTIVE,2025-07-04,EMEA
CUST_0009,INDIVIDUAL,Switzerland,INACTIVE,2021-07-27,Europe
CUST_0010,INDIVIDUAL,Colombia,ACTIVE,2023-09-30,South America
CUST_0011,INDIVIDUAL,Panama,ACTIVE,2024-04-29,Central America
CUST_0012,LEGAL_ENTITY,Panama,ACTIVE,2026-03-10,Central America
CUST_0013,LEGAL_ENTITY,Mexico,ACTIVE,2025-07-02,North America
CUST_0014,INDIVIDUAL,Turkey,ACTIVE,2021-08-19,EMEA
CUST_0015,INDIVIDUAL,Morocco,ACTIVE,2025-09-29,Africa
CUST_0016,INDIVIDUAL,Mexico,ACTIVE,2023-10-04,North America
CUST_0017,INDIVIDUAL,Switzerland,ACTIVE,2026-03-07,Europe
CUST_0018,INDIVIDUAL,Mexico,ACTIVE,2022-12-14,North America
CUST_0019,INDIVIDUAL,Switzerland,ACTIVE,2021-08-27,Europe
CUST_0020,INDIVIDUAL,Spain,INACTIVE,2021-10-12,Europe
CUST_0021,INDIVIDUAL,Panama,ACTIVE,2025-05-03,Central America
CUST_0022,INDIVIDUAL,Spain,ACTIVE,2022-07-16,Europe
CUST_0023,INDIVIDUAL,UAE,ACTIVE,2021-09-25,Middle East
CUST_0024,INDIVIDUAL,Turkey,ACTIVE,2025-04-25,EMEA
CUST_0025,INDIVIDUAL,Morocco,INACTIVE,2024-01-25,Africa
CUST_0026,LEGAL_ENTITY,Switzerland,ACTIVE,2024-02-02,Europe
CUST_0027,INDIVIDUAL,Morocco,INACTIVE,2023-09-21,Africa
CUST_0028,INDIVIDUAL,Switzerland,ACTIVE,2021-11-27,Europe
CUST_0029,INDIVIDUAL,Colombia,INACTIVE,2022-04-07,South America
CUST_0030,INDIVIDUAL,Mexico,ACTIVE,2021-10-02,North America
