customer_id,restrictive_measure_status,measure_type,enhanced_monitoring_flag,onboarding_restriction_flag,escalation_required_flag,last_measure_review_date
CUST_0001,NOT_APPLIED,ENHANCED_MONITORING,NO,NO,NO,2025-07-29
CUST_0002,NOT_APPLIED,ONBOARDING_RESTRICTION,NO,NO,NO,2025-09-11
CUST_0003,APPLIED,ENHANCED_MONITORING,YES,YES,NO,2026-03-10
CUST_0004,NOT_APPLIED,COMPLIANCE_ESCALATION,NO,NO,NO,2025-07-20
CUST_0005,APPLIED,TRANSACTION_LIMITATION,NO,NO,NO,2024-05-23
CUST_0006,NOT_APPLIED,TRANSACTION_LIMITATION,NO,NO,NO,2024-11-13
CUST_0007,NOT_APPLIED,ENHANCED_MONITORING,NO,NO,NO,2025-11-20
CUST_0008,APPLIED,TRANSACTION_LIMITATION,NO,YES,NO,2025-09-24
CUST_0009,APPLIED,NONE,YES,NO,NO,2024-01-09
CUST_0010,NOT_APPLIED,TRANSACTION_LIMITATION,NO,NO,NO,2024-04-27
CUST_0011,NOT_APPLIED,COMPLIANCE_ESCALATION,NO,NO,NO,2024-02-20
CUST_0012,NOT_APPLIED,COMPLIANCE_ESCALATION,NO,NO,NO,2026-01-31
CUST_0013,APPLIED,ONBOARDING_RESTRICTION,YES,NO,NO,2025-02-28
CUST_0014,NOT_APPLIED,COMPLIANCE_ESCALATION,NO,NO,NO,2024-09-20
CUST_0015,NOT_APPLIED,ONBOARDING_RESTRICTION,NO,NO,NO,2024-06-22
CUST_0016,NOT_APPLIED,COMPLIANCE_ESCALATION,NO,NO,NO,2024-01-13
CUST_0017,NOT_APPLIED,NONE,NO,NO,NO,2026-01-28
CUST_0018,APPLIED,ENHANCED_MONITORING,YES,YES,NO,2025-04-09
CUST_0019,NOT_APPLIED,TRANSACTION_LIMITATION,NO,NO,NO,2025-10-23
CUST_0020,NOT_APPLIED,ENHANCED_MONITORING,NO,NO,NO,2024-12-06
CUST_0021,NOT_APPLIED,NONE,NO,NO,NO,2024-07-31
CUST_0022,NOT_APPLIED,NONE,NO,NO,NO,2024-04-05
CUST_0023,NOT_APPLIED,NONE,NO,NO,NO,2024-08-02
CUST_0024,NOT_APPLIED,TRANSACTION_LIMITATION,NO,NO,NO,2025-08-23
CUST_0025,NOT_APPLIED,NONE,NO,NO,NO,2024-07-13
CUST_0026,APPLIED,NONE,NO,NO,NO,2025-10-14
CUST_0027,NOT_APPLIED,NONE,NO,NO,NO,2024-12-03
CUST_0028,NOT_APPLIED,TRANSACTION_LIMITATION,NO,NO,NO,2025-02-25
CUST_0029,NOT_APPLIED,COMPLIANCE_ESCALATION,NO,NO,NO,2024-03-25
CUST_0030,NOT_APPLIED,NONE,NO,NO,NO,2025-04-30
CUST_0031,NOT_APPLIED,TRANSACTION_LIMITATION,NO,NO,NO,2024-10-21
CUST_0032,NOT_APPLIED,COMPLIANCE_ESCALATION,NO,NO,NO,2025-03-26
CUST_0033,APPLIED,TRANSACTION_LIMITATION,YES,NO,NO,2026-01-17
CUST_0034,NOT_APPLIED,NONE,NO,NO,NO,2025-05-03
CUST_0035,APPLIED,TRANSACTION_LIMITATION,NO,YES,NO,2025-12-06
CUST_0036,NOT_APPLIED,ONBOARDING_RESTRICTION,NO,NO,NO,2026-01-11
CUST_0037,NOT_APPLIED,COMPLIANCE_ESCALATION,NO,NO,NO,2024-03-02
CUST_0038,APPLIED,COMPLIANCE_ESCALATION,NO,YES,NO,2024-01-12
CUST_0039,APPLIED,NONE,YES,YES,NO,2026-01-03
CUST_0040,NOT_APPLIED,TRANSACTION_LIMITATION,NO,NO,NO,2025-12-11
CUST_0041,NOT_APPLIED,NONE,NO,NO,NO,2024-04-03
CUST_0042,APPLIED,COMPLIANCE_ESCALATION,NO,NO,NO,2025-07-10
CUST_0043,APPLIED,ONBOARDING_RESTRICTION,YES,YES,NO,2024-05-16
CUST_0044,NOT_APPLIED,ONBOARDING_RESTRICTION,NO,NO,NO,2025-11-29
CUST_0045,NOT_APPLIED,NONE,NO,NO,NO,2025-06-03
CUST_0046,NOT_APPLIED,ONBOARDING_RESTRICTION,NO,NO,NO,2025-01-10
CUST_0047,APPLIED,NONE,NO,YES,NO,2025-12-24
CUST_0048,NOT_APPLIED,ONBOARDING_RESTRICTION,NO,NO,NO,2024-09-18
