training_id,communication_id,country,region,business_area,target_population,critical_area_flag,training_name,training_status,completion_rate,training_deadline,communication_topic,communication_date,acknowledgement_status,acknowledgement_due_date,onboarding_involved_flag,last_training_completion_date
TRN_0001,COM_0001,Peru,South America,Compliance,427,YES,AML Customer Lifecycle Standard Training,IN_PROGRESS,0.58,2026-05-30,AML Lifecycle Transformation Update,2025-10-26,NOT_ACKNOWLEDGED,2026-05-23,NO,2025-03-06
TRN_0002,COM_0002,Spain,Europe,Operations,97,YES,AML Customer Lifecycle Standard Training,NOT_COMPLETED,0.44,2026-04-27,AML Lifecycle Transformation Update,2026-02-28,ACKNOWLEDGED,2026-04-24,NO,2025-11-16
TRN_0003,COM_0003,Morocco,Africa,Operations,215,YES,AML Customer Lifecycle Standard Training,IN_PROGRESS,0.89,2026-05-13,AML Lifecycle Transformation Update,2026-01-26,ACKNOWLEDGED,2026-06-10,NO,2025-08-09
TRN_0004,COM_0004,Spain,Europe,Compliance,82,YES,AML Customer Lifecycle Standard Training,IN_PROGRESS,0.74,2026-03-09,AML Lifecycle Transformation Update,2025-12-15,ACKNOWLEDGED,2026-03-28,NO,2024-05-10
TRN_0005,COM_0005,Argentina,South America,Compliance,292,YES,AML Customer Lifecycle Standard Training,IN_PROGRESS,0.62,2026-05-24,AML Lifecycle Transformation Update,2026-02-02,ACKNOWLEDGED,2026-04-28,NO,2025-01-02
TRN_0006,COM_0006,Mexico,North America,Customer Onboarding,480,YES,AML Customer Lifecycle Standard Training,IN_PROGRESS,0.81,2026-03-04,AML Lifecycle Transformation Update,2026-02-20,ACKNOWLEDGED,2026-04-17,YES,2025-09-05
TRN_0007,COM_0007,Peru,South America,Retail Banking,211,NO,AML Customer Lifecycle Standard Training,IN_PROGRESS,0.94,2026-05-10,AML Lifecycle Transformation Update,2026-05-15,NOT_ACKNOWLEDGED,2026-04-24,YES,2025-04-28
TRN_0008,COM_0008,Spain,Europe,Engineering,291,NO,AML Customer Lifecycle Standard Training,IN_PROGRESS,0.59,2026-02-24,AML Lifecycle Transformation Update,2025-12-09,ACKNOWLEDGED,2026-04-20,NO,2025-01-01
TRN_0009,COM_0009,Mexico,North America,Risk,35,NO,AML Customer Lifecycle Standard Training,NOT_COMPLETED,0.45,2026-05-11,AML Lifecycle Transformation Update,2025-11-09,ACKNOWLEDGED,2026-04-21,NO,2024-02-05
TRN_0010,COM_0010,UAE,Middle East,Compliance,116,YES,AML Customer Lifecycle Standard Training,NOT_COMPLETED,0.57,2026-06-16,AML Lifecycle Transformation Update,2025-10-25,ACKNOWLEDGED,2026-03-27,NO,2025-08-09
TRN_0011,COM_0011,Spain,Europe,Risk,491,YES,AML Customer Lifecycle Standard Training,NOT_COMPLETED,0.89,2026-06-04,AML Lifecycle Transformation Update,2025-11-26,NOT_ACKNOWLEDGED,2026-04-01,NO,2026-01-26
TRN_0012,COM_0012,Argentina,South America,Compliance,342,YES,AML Customer Lifecycle Standard Training,IN_PROGRESS,0.69,2026-04-07,AML Lifecycle Transformation Update,2026-01-03,NOT_ACKNOWLEDGED,2026-05-08,NO,2024-10-14
TRN_0013,COM_0013,Turkey,EMEA,Corporate Banking,270,YES,AML Customer Lifecycle Standard Training,IN_PROGRESS,0.75,2026-05-01,AML Lifecycle Transformation Update,2026-03-14,NOT_ACKNOWLEDGED,2026-04-22,YES,2024-06-27
TRN_0014,COM_0014,Turkey,EMEA,Risk,458,YES,AML Customer Lifecycle Standard Training,IN_PROGRESS,0.76,2026-04-16,AML Lifecycle Transformation Update,2026-04-29,ACKNOWLEDGED,2026-04-03,NO,2025-10-19
TRN_0015,COM_0015,Colombia,South America,Retail Banking,490,YES,AML Customer Lifecycle Standard Training,IN_PROGRESS,0.81,2026-02-27,AML Lifecycle Transformation Update,2025-11-26,ACKNOWLEDGED,2026-04-22,YES,2024-10-27
TRN_0016,COM_0016,Mexico,North America,Compliance,45,YES,AML Customer Lifecycle Standard Training,IN_PROGRESS,0.9,2026-03-29,AML Lifecycle Transformation Update,2025-10-21,ACKNOWLEDGED,2026-04-04,NO,2024-06-14
TRN_0017,COM_0017,Spain,Europe,Retail Banking,100,NO,AML Customer Lifecycle Standard Training,IN_PROGRESS,0.79,2026-04-08,AML Lifecycle Transformation Update,2025-12-30,ACKNOWLEDGED,2026-03-25,YES,2026-01-10
